Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator Cores,Rmax,Rpeak,Effeciency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
385,,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",Geoscience,IBM,United States,2011,Industry,6048,0,55727,67738,82.27,0,0,211.68,263.26,Cluster,Xeon X5560 4C 2.80GHz,Intel EM64T,2800,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),xSeries iDataPlex,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
386,,"iDataPlex, Xeon X55xx QC 2.8 GHz, Infiniband",Geoscience,IBM,United States,2011,Industry,6048,0,55727,67738,82.27,0,0,211.68,263.26,Cluster,Xeon X5560 4C 2.80GHz,Intel EM64T,2800,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),xSeries iDataPlex,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
387,,"Cluster Platform 3000 BL460c G7, Xeon X5650 2.66 Ghz, GigE",IT Services Provider (D),Hewlett-Packard,United States,2011,Industry,10014,0,55722.1,106549,52.3,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
388,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",Classified,IBM,United Kingdom,2011,Classified,5880,0,55656,62563,88.96,0,0,157.08,354.32,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,Northern Europe,Europe
389,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",Classified,IBM,United Kingdom,2011,Classified,5880,0,55656,62563,88.96,0,0,157.08,354.32,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,Northern Europe,Europe
390,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, Infiniband",Classified,IBM,United Kingdom,2011,Classified,5880,0,55656,62563,88.96,0,0,157.08,354.32,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Infiniband,Infiniband,Northern Europe,Europe
391,,"HP DL180 Cluster G6, Xeon E5620 2.4 GHz, GigE",Social NW Provider,Hewlett-Packard,United States,2011,Industry,11120,0,55592,106752,52.08,0,0,,,Cluster,Xeon E5620 4C 2.40GHz,Intel EM64T,2400,Linux,Linux,None,4,Xeon E56xx (Westmere-EP),HP DL180 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
392,,"Cluster Platform 3000 BL460c G7, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",IT Service Provider (D),Hewlett-Packard,United States,2011,Industry,9042,0,55591,105972.24,52.46,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
393,,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",Bank (J),IBM,United Kingdom,2011,Industry,9864,0,55584,115606.08,48.08,0,0,314,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
394,,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",Bank (J),IBM,United Kingdom,2011,Industry,9864,0,55584,115606.08,48.08,0,0,314,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
395,,"iDataPlex, Xeon E55xx QC 2.26 GHz, Infiniband",Digital Media,IBM,United States,2011,Industry,6752,0,55573.89,61227.14,90.77,0,0,187.89,295.78,Cluster,Xeon E5520 4C 2.27GHz,Intel EM64T,2267,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),xSeries iDataPlex,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
396,,"Cluster Platform 3000 BL460c, Xeon E5450 4C 3.00GHz, Gigabit Ethernet",Logistic Services (C),Hewlett-Packard,United States,2009,Industry,8800,0,55429,105600,52.49,0,0,,,Cluster,Xeon E5450 4C 3.00GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",Cluster Platform 3000 BL460c,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
397,,"HP DL160 Cluster G6, Xeon E5640 2.53 GHz, GigE",Web Content Provider,Hewlett-Packard,United States,2011,Industry,10480,0,55366.3,106057.6,52.2,0,0,,,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
398,,"Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE",Web Company (F),Hewlett-Packard,United States,2011,Industry,9918,0,55208.2,105527.5,52.32,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform SL160z,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
399,,"Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE",Web Company (F),Hewlett-Packard,United States,2011,Industry,9918,0,55208.2,105527.5,52.32,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform SL160z,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
400,,"Cluster Platform 3000 SL160z, Xeon X5650 2.66 GHz, GigE",Web Company (F),Hewlett-Packard,United States,2011,Industry,9918,0,55208.2,105527.5,52.32,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform SL160z,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
401,,"BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet",Network Company,IBM,China,2011,Industry,9744,0,55122,98609.28,55.9,0,0,308.07,178.93,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
402,,"BladeCenter HS22 Cluster, Xeon E5540 4C 2.53 GHz, Gigabit Ethernet",Network Company,IBM,China,2011,Industry,9744,0,55122,98609.28,55.9,0,0,308.07,178.93,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
403,,"Power 575, p6 4.7 GHz, Infiniband",Indian Institute of Tropical Meteorology,IBM,India,2010,Research,3744,0,55110,70387.2,78.3,0,0,598,92.16,MPP,POWER6 2C 4.70GHz,Power,4700,AIX,Unix,None,2,POWER6,pSeries 575,IBM pSeries,Infiniband,Infiniband,South-central Asia,Asia
404,,"HP DL160 Cluster G6, Xeon E5620 2.4 GHz, GigE",Web Content Provider,Hewlett-Packard,United States,2011,Industry,11012,0,55075.1,105715.2,52.1,0,0,,,Cluster,Xeon E5620 4C 2.40GHz,Intel EM64T,2400,Linux,Linux,None,4,Xeon E56xx (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
405,,"Cluster Platform 3000 BL460c G7, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",IT Service Provider (D),Hewlett-Packard,United States,2011,Industry,8952,0,55054,104917.44,52.47,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
406,,"HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE",Web Company (F),Hewlett-Packard,United States,2011,Industry,10416,0,55041.7,105409.9,52.22,0,0,,,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),HP DL180 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
407,,"HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE",Web Company (F),Hewlett-Packard,United States,2011,Industry,10416,0,55041.7,105409.9,52.22,0,0,,,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),HP DL180 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
408,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Service Provider,IBM,Japan,2011,Industry,9732,0,54840.21,98487.84,55.68,0,0,295.2,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
409,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Service Provider,IBM,Japan,2011,Industry,9732,0,54840.21,98487.84,55.68,0,0,295.2,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
410,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Service Provider,IBM,Japan,2011,Industry,9732,0,54840.21,98487.84,55.68,0,0,295.2,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
411,,"Cluster Platform SL165z G7, Opteron 6174 2.2 Ghz, Infiniband",Web Content Provider(P),Hewlett-Packard,Germany,2011,Industry,12000,0,54806,105600,51.9,0,0,,,Cluster,Opteron 6174 12C 2.20GHz,AMD x86_64,2200,Linux,Linux,None,12,Opteron 12 Core,Cluster Platform SL165z G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Western Europe,Europe
412,,"Cluster Platform 4000 BL685c G7, Opteron 12C 2.1 Ghz, GigE",IT Service Provider,Hewlett-Packard,United Kingdom,2011,Industry,12552,0,54605.3,105436.8,51.79,0,0,,,Cluster,Opteron 6172 12C 2.10GHz,AMD x86_64,2100,Linux,Linux,None,12,Opteron 12 Core,Cluster Platform 4000 BL685c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
413,,"Cluster Platform 3000 BL460c, Xeon E5450 4C 3.00GHz, Gigabit Ethernet",IT Service Provider (D),Hewlett-Packard,United States,2009,Industry,8640,0,54463,103680,52.53,0,0,,,Cluster,Xeon E5450 4C 3.00GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",Cluster Platform 3000 BL460c,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
414,SHIROKANE,"SunBlade x6250, Xeon E5450 3GHz, Infiniband","University of Tokyo/Human Genome Center, IMS",Sun Microsystems,Japan,2009,Academic,5760,0,54210,69120,78.43,786712,0,,,Cluster,Xeon E5450 4C 3.00GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",Sun Blade x6250,Sun Blade System,Infiniband,Infiniband DDR,Eastern Asia,Asia
415,,"HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE",Web Company (F),Hewlett-Packard,United States,2011,Industry,10240,0,54148.1,103628.8,52.25,0,0,,,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),HP DL180 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
416,,"HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE",Web Company (F),Hewlett-Packard,United States,2011,Industry,10240,0,54148.1,103628.8,52.25,0,0,,,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),HP DL180 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
417,,"HP DL180 Cluster G6, Xeon E5540 2.53 GHz, GigE",Web Company (F),Hewlett-Packard,United States,2011,Industry,10240,0,54148.1,103628.8,52.25,0,0,,,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),HP DL180 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
418,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2011,Industry,9720,0,54139,103420.8,52.35,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
419,,"Cluster Platform 3000 BL460c G7, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,United States,2011,Industry,9720,0,54139,103420.8,52.35,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
420,,"Cluster Platform SL160z, Xeon L5520 4C 2.26 GHz, Gigabit Ethernet",Financial Institution,Hewlett-Packard,United States,2011,Industry,11504,0,54077,103996.16,52,0,0,,,Cluster,Xeon L5520 4C 2.26GHz,Intel EM64T,2260,Linux,Linux,None,4,Xeon L55xx (Nehalem-EP),Cluster Platform SL160z,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
421,,"Cluster Platform 3000 BL460c G7, Xeon X5675 6C 3.06 GHz, Infiniband QDR",Service Provider,Hewlett-Packard,United States,2011,Industry,5628,0,54072,68886.72,78.49,0,0,,,Cluster,Xeon X5675 6C 3.06GHz,Intel Nehalem,3060,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,North America,Americas
422,,"BladeCenter HS22 Cluster (WM), Xeon E5649 6C 2.53 GHz, Gigabit Ethernet",Service Provider,IBM,China,2011,Industry,9576,0,53961,96909,55.68,0,0,244.24,220.93,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
423,,"Cluster Platform 4000 BL685c G7, Opteron 6172 12C 2.10 GHz, 10G Ethernet",IT Service Provider (D),Hewlett-Packard,United States,2011,Industry,8184,0,53429,68745.6,77.72,0,0,,,Cluster,Opteron 6172 12C 2.10GHz,AMD x86_64,2100,Linux,Linux,None,12,Opteron 12 Core,Cluster Platform 4000 BL685c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,10G Ethernet,North America,Americas
424,,"iDataPlex, Xeon X56xx 6C 2.66 GHz, GigE",Financial Institution (P),IBM,United Kingdom,2011,Industry,9480,0,53420,100867,52.96,0,0,248.03,215.38,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries iDataPlex,IBM iDataPlex,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
425,,"iDataPlex, Xeon X56xx 6C 2.66 GHz, GigE",Financial Institution (P),IBM,United Kingdom,2011,Industry,9480,0,53420,100867,52.96,0,0,248.03,215.38,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries iDataPlex,IBM iDataPlex,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
426,,"SGI Altix ICE 8200EX, Xeon X5560 2.8 GHz/X5675 3.06 GHz, Infiniband",ONERA,SGI,France,2011,Research,4992,0,53300,57907.2,92.04,1418760,0,,,MPP,Xeon X5560 4C 2.80GHz,Intel EM64T,2800,SLES10 + SGI ProPack 5,Linux,None,4,Xeon X55xx (Nehalem-EP),SGI Altix ICE 8200EX,SGI Altix,Infiniband,Infiniband,Western Europe,Europe
427,,"xSeries x3650M3 Cluster, Xeon E5649 6C 2.53 GHz, Gigabit Ethernet",Service Provider,IBM,China,2011,Industry,9444,0,53217,95573,55.68,0,0,286.47,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
428,,"xSeries x3650M3 Cluster, Xeon E5649 6C 2.53 GHz, Gigabit Ethernet",Service Provider,IBM,China,2011,Industry,9444,0,53217,95573,55.68,0,0,286.47,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
429,,"HP DL160 Cluster G6, Xeon E5620 4C 2.40 GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2011,Industry,10608,0,53132,101836.8,52.17,0,0,,,Cluster,Xeon E5620 4C 2.40GHz,Intel EM64T,2400,Linux,Linux,None,4,Xeon E56xx (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
430,,"HP DL160 Cluster G6, Xeon E5620 4C 2.40 GHz, Gigabit Ethernet",Web Content Provider,Hewlett-Packard,United States,2011,Industry,10608,0,53132,101836.8,52.17,0,0,,,Cluster,Xeon E5620 4C 2.40GHz,Intel EM64T,2400,Linux,Linux,None,4,Xeon E56xx (Westmere-EP),HP DL160 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
431,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Internet Service,IBM,China,2011,Industry,9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
432,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Internet Service,IBM,China,2011,Industry,9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
433,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Internet Service,IBM,China,2011,Industry,9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
434,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Internet Service,IBM,China,2011,Industry,9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
435,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Internet Service,IBM,China,2011,Industry,9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
436,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Internet Service,IBM,China,2011,Industry,9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
437,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Internet Service,IBM,China,2011,Industry,9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
438,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Internet Service,IBM,China,2011,Industry,9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
439,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Internet Service,IBM,China,2011,Industry,9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
440,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Internet Service,IBM,China,2011,Industry,9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
441,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Internet Service,IBM,China,2011,Industry,9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
442,,"xSeries x3650M3, Xeon X56xx 2.53 GHz, GigE",Internet Service,IBM,China,2011,Industry,9420,0,53082.07,95330.4,55.68,0,0,285.74,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
443,Vienna Scientific Cluster,"Sun Blade x2270/Supermicro SC827T-R1400, Xeon X5550 2.66 Ghz, Infiniband QDR",Technische Universitaet Wien,Sun Microsystems,Austria,2011,Academic,5472,0,53070,58375,90.91,0,0,,,Cluster,Xeon X5550 4C 2.66GHz,Intel EM64T,2660,Cell OS,Unix,None,4,Xeon X55xx (Nehalem-EP),Sun Blade X2270,Sun Blade System,Infiniband,Infiniband,Western Europe,Europe
444,Razor-II,"Altus 704 Cluster, 6C Opteron 8431 2.4 Ghz, Infiniband",Georgia Institute of Technology,Penguin Computing,United States,2010,Research,8640,0,53050,82944,63.96,1152000,0,246,215.65,Cluster,Opteron Six Core 6C 2.40GHz,AMD x86_64,2400,Linux,Linux,None,6,Opteron Six Core,Altus 704 Cluster,Penguin Computing Cluster,Infiniband,Infinband DDR 4x,North America,Americas
445,Thunderbird,"PowerEdge 1850, 3.6 GHz, Infiniband",NNSA/Sandia National Laboratories,Dell,United States,2006,Research,9024,0,53000,64972.8,81.57,0,0,,,Cluster,Xeon EM64T  3.60GHz,Intel EM64T,3600,Linux,Linux,None,1,Xeon EM64T,PowerEdge 1850,Dell PowerEdge Cluster,Infiniband,Infiniband,North America,Americas
446,,"Cluster Platform 3000 SL160z, Xeon L55xx 2.26 GHz, GigE",Financial Institution,Hewlett-Packard,United States,2011,Industry,11264,0,52997.9,101826.6,52.05,0,0,,,Cluster,Xeon L5520 4C 2.26GHz,Intel EM64T,2260,Linux,Linux,None,4,Xeon L55xx (Nehalem-EP),Cluster Platform SL160z,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
447,,"Cluster Platform 3000 BL460c G6, Xeon X5650 6C 2.66 GHz, Gigabit Ethernet",Logistic Services (C),Hewlett-Packard,United States,2011,Industry,9504,0,52987,101122.56,52.4,0,0,,,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
448,,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE",Logistic Services (E),Hewlett-Packard,United States,2011,Industry,9492,0,52922.9,100994.9,52.4,0,0,,,Cluster,Xeon X5550 4C 2.66GHz,Intel EM64T,2660,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),Cluster Platform SL160z,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
449,,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE",Logistic Services (E),Hewlett-Packard,United States,2011,Industry,9492,0,52922.9,100994.9,52.4,0,0,,,Cluster,Xeon X5550 4C 2.66GHz,Intel EM64T,2660,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),Cluster Platform SL160z,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
